(376.546,819.528,457.237)
(408.089,404.296,291.855)
(500.085,476.945,487.617)
(358.677,739.244,126.946)
(343.249,456.31,386.797)
(360.173,431.67,267.824)
(730.101,706.587,314.125)
(296.331,791.991,294.78)
(357.074,780.939,148.094)
(560.44,652.437,83.0825)
(448.721,777.848,110.206)
(590.718,436.038,232.888)
(532.668,840.68,170.838)
(579.482,811.418,473.659)
(435.106,527.849,546.089)
(488.004,737.403,81.3715)
(719.945,692.738,227.159)
(665.664,588.759,478.793)
(705.551,711.99,399.582)
(349.762,617.407,121.671)
(494.261,798.994,121.817)
(347.086,861.294,297.238)
(669.328,761.187,435.344)
(520.786,747.631,537.327)
(734.636,662.54,331.496)
(479.126,806.564,515.294)
(640.919,725.314,495.844)
(243.079,638.079,342.982)
(618.675,690.676,102.647)
(404.122,789.095,143.81)
(662.132,763.821,470.605)
(417.646,525.433,115.419)
(464.993,673.98,77.1552)
(615.43,841.692,435.18)
(387.583,760.739,523.124)
(405.52,593.308,88.466)
(647.427,653.943,134.21)
(606.624,849.941,232.024)
(536.245,886.018,297.292)
(732.394,641.41,274.099)
(282.636,619.47,184.045)
(421.386,622.742,562.927)
(568.404,714.344,88.9193)
(678.237,521.363,398.681)
(475.928,388.795,318.806)
(385.517,469.639,451.141)
(484.289,746.983,98.3491)
(400.867,435.758,233.328)
(408.622,807.332,155.45)
(675.793,554.923,196.014)
(336.949,506.148,159.902)
(679.594,611.879,164.138)
(234.155,663.728,302.681)
(614.096,536.768,509.941)
(626.868,607.635,110.273)
(394.751,419.665,244.953)
(388.964,721.411,536.365)
(327.505,543.216,484.287)
(575.669,450.456,438.494)
(619.964,864.971,323.05)
(373.571,772.867,134.161)
(288.413,499.372,398.533)
(413.557,879.454,391.1)
(243.447,699.906,285.724)
(477.098,611.756,73.5193)
(685.975,498.985,364.687)
(563.835,433.507,210.153)
(546.558,875.218,228.816)
(514.763,618.242,566.034)
(437.591,715.481,553.049)
(398.844,477.84,147.209)
(488.225,510.059,519.942)
(434.986,503.832,128.733)
(663.14,744.024,175.373)
(728.849,652.269,298.544)
(481.635,870.89,189.103)
(609.378,853.112,328.767)
(364.553,661.302,97.1511)
(313.071,824.344,277.309)
(325.945,458.395,288.73)
(403.633,895.172,304.725)
(522.818,480.668,132.443)
(663.438,496.637,419.779)
(394.602,856.276,210.713)
(341.507,828.848,243.23)
(590.853,809.614,487.557)
(656.741,820.033,240.637)
(638.025,537.899,164.359)
(525.258,888.413,242.47)
(705.495,649.094,413.097)
(420.541,888.972,352.118)
(288.256,761.212,428.425)
(531.778,435.023,195.675)
(651.637,553.733,474.471)
(412.829,601.693,563.621)
(526.466,394.711,320.993)
(566.544,554.243,539.752)
(529.297,774.654,532.882)
(488.741,470.58,141.957)
(249.81,689.041,250.685)
(607.084,509.638,153.406)
(427.49,770.045,520.783)
(245.333,691.126,234.873)
(687.363,717.864,464.168)
(328.765,465.385,253.061)
(688.773,754.021,228.776)
(517.43,886.846,307.305)
(333.512,675.055,520.285)
(401.235,848.634,206.128)
(457.09,872.779,225.377)
(563.89,869.842,394.428)
(372.999,823.672,194.737)
(459.945,652.245,80.9358)
(514.134,399.632,339.368)
(577.986,603.839,100.418)
(262.035,693.701,215.636)
(294.519,759.097,223.253)
(393.23,426.185,393.932)
(305.116,566.323,472.088)
(402.096,487.653,486.197)
(504.923,897.094,350.398)
(397.252,435.591,435.207)
(508.945,587.93,70.752)
(558.028,643.944,84.8913)
(481.28,405.006,260.668)
(716.878,581.402,274.968)
(500.443,608.089,78.0021)
(443.625,483.745,507.011)
(478.214,900.033,380.713)
(658.633,459.919,313.34)
(337.093,822.992,222.858)
(353.961,815.764,217.974)
(322.966,833.6,292.846)
(532.495,564.012,544.201)
(595.217,513.954,494.185)
(462.699,438.994,475.116)
(433.062,780.182,126.752)
(469.532,481.327,503.981)
(661.159,661.823,499.803)
(639.45,478.444,432.977)
(647.655,461.473,374.58)
(633.001,694.763,509.871)
(511.589,665.525,562.852)
(420.919,885.811,352.843)
(262.596,766.705,323.478)
(603.336,854.608,314.911)
(570.088,747.698,110.893)
(617.174,455.809,409.044)
(708.875,670.428,219.883)
(242.58,567.33,325.25)
(573.211,647.695,557.508)
(528.627,624.643,77.4991)
(696.301,768.247,324.172)
(524.301,817.23,135.4)
(622.686,789.719,463.249)
(709.69,727.492,244.113)
(602.378,860.102,395.98)
(639.905,829.959,302.964)
(427.907,815.246,143.11)
(476.455,436.235,178.435)
(503.736,890.938,334.025)
(444.508,409.467,374.486)
(451.921,516.374,110.268)
(357.579,860.536,335.047)
(626.649,772.255,489.418)
(566.973,457.489,466.246)
(682.597,683.593,463.581)
(427.67,548.493,540.329)
(417.149,458.218,471.107)
(358.904,508.576,155.51)
(497.03,403.247,401.998)
(724.457,738.687,308.619)
(310.6,547.83,470.948)
(265.03,687.825,446.239)
(400.909,675.222,89.219)
(638.15,449.403,319.948)
(678.577,776.342,233.752)
(381.297,841.448,422.246)
(449.522,696.164,70.4908)
(292.337,775.688,214.785)
(492.246,892.104,304.543)
(245.276,637.326,411.119)
(440.387,685.699,71.5514)
(554.83,854.601,446.014)
(395.071,863.35,250.454)
(312.652,529.88,461.667)
(241.313,611.073,364.012)
(418.443,824.043,166.929)
(683.831,525.797,202.232)
(412.703,856.602,196.19)
(422.215,837.098,471.211)
(249.889,592.986,224.735)
